ID,fertilizer,manure,PM25,SO2density,NOX,AET,PPT,TEM,WIND
407031159,0,6.785443658,4.742857184,0.18355136,2.331339787,7.463265306,7.863265306,35.47142857,3.906122449
407031160,338.1510076,0,0,0,0,0,0,0,0
407031161,0,11448.73547,4.956310705,0.635280041,1.513984562,8.967986799,9.244884488,33.61782178,4.0169967
407031162,816.1540017,1124.33613,5.300000191,0.399507398,9.457769456,7.24,7.64,35.2,3.88
407031163,0,3404.277984,4.993478288,4.961850665,2.511679443,7.440714286,7.836785714,35.20642857,3.882142857
407031164,14235.61162,4808.918801,4.981818214,0.500993656,2.895509369,8.497340426,8.841489362,32.98138298,4.298404255
407031165,989.8170992,317.8153115,4.699999809,0,0,8.928571429,9.328571429,31.4,5.014285714
407031166,0,5873.460751,5.16315784,0.929153295,6.617438366,8.946078431,9.303921569,31.55,5.031372549
407031167,0,0,0,0,0,6.8,7.2,35.3,3.8
407031168,0,153.3061671,5.08888891,4.024145685,3.047771225,7.152941176,7.552941176,35.84313725,3.835294118
407031169,0,19339.19597,5.093975894,0.601107049,1.748211271,9.639227642,9.518292683,30.99857724,5.01402439
407031170,0,3524.782071,4.730769258,1.434338648,1.868016659,8.128526646,8.539184953,35.01567398,4.11661442
501011001,0,2738.024353,7.844444487,81.10388104,1.180821647,39.66752137,14.09059829,25.68205128,5.674358974
501011003,0,2903.822186,8.015384711,34.65643281,1.901198285,32.54864865,10.65675676,27.72702703,5.994594595
501011004,5.427863589,57.977348,8.100000381,9.410219147,7.723495103,36.74285714,13.11428571,25.6,6.1
501011293,310.2415132,358.4888344,9.200000286,100.8340453,50.53848318,23.75,8.7,28.98333333,6.483333333
501011294,442.906781,941.003349,9,0.418772239,6.253199995,28.2,9.6,28.48333333,6.316666667
501021007,0,1973.984207,8.360000038,313.4158285,23.08744658,27.83928571,9.821428571,29.73571429,5.853571429
501021009,0,402.9212724,8.199999942,4747.899246,106.998523,33.37473684,19.26736842,29.89894737,5.092631579
501021010,0,1066.356672,8.133333524,322.1444931,7.277603524,38.99642857,14.76071429,29.68571429,5.660714286
501021014,0,2921.386868,8.233333333,134.2093632,40.9325912,41.14888889,17.02444444,29.90222222,5.548888889
501021016,0,1417.35654,8.499999894,346.9450176,7.683559121,34.25576923,16.42884615,29.88461538,5.521153846
501021252,5.96745494,53.95437236,9.199999809,82.26840579,59.27319857,22.86666667,9.266666667,29.96666667,6.233333333
501021253,0,53.19005144,0,0,0,23.2,10.4,30,6.7
501021254,0,3.633676687,0,0,0,22.9,9.5,30,6.6
501031017,0,14887.51026,8.453658523,23.29910283,1.883063153,18.54545455,14.16277056,28.64458874,4.181385281
501031018,0,1597.980276,8.123529322,411.3218784,3.097768437,34.04352941,13.80588235,29.00588235,4.976470588
501031019,0,952.5131811,8.600000064,4.506153581,3.301260175,23.65882353,17.37058824,26.38823529,4.529411765
501031020,0,4354.681637,8.435789515,1.756831364,0.693332913,27.26170599,18.30018149,25.68892922,5.160980036
502011029,2315.415399,2520.3435,8.000000106,97.8041691,87.02212493,23.46,14.74888889,30.45777778,5.693333333
504021049,0,84.2551785,0,0,0,15.98181818,13.49090909,31.6,5.018181818
504021052,0,10.93313635,7.575000167,0.30641575,8.669144682,17.79444444,14.09444444,30.98888889,5.061111111
504021053,0,0,7.599999905,0.647329861,8.953197574,19.34285714,14.27142857,30.47142857,5.257142857
504031056,0,0,0,0,0,17.3,11.45,31.25,5.95
504031057,0,2.920721133,0,0,0,17.5,12.06666667,31.8,5.766666667
504031058,17.91678051,217.527713,7.550000191,0.151997309,7.395491848,15.88571429,12.55714286,32.00714286,5.314285714
504031060,0,120.9793174,6.950000048,0.895310005,3.4350056,16.03333333,12.74666667,31.26666667,5.14
504031061,0,25.71118717,0,0,0,0,0,0,0
504031062,0,0,9.399999619,2.06085753,647.3880114,17.4,11.3,31.6,5.7
504031065,0,75.14700651,0,0,0,18.2,12.75,31.8,5.5
504031068,2.587893831,23.08144435,7.300000191,0.234628225,14.45337438,17.375,12.7,31.525,5.425
504031299,0,0,0,0,0,17.2,12.4,32.2,5.5
505031100,0,62.73442334,9,41.70217469,167.4423225,17.1,12.8,30.35,6.3
505031107,0.608912861,108.0878072,0,0,0,17.4,12.7,30.76666667,6.1
505031255,0.780961728,0,8.699999809,0.094059132,31.74097662,15.9,12.2,29.9,6.6
505031256,0,283.9635189,7.850000143,2.196452089,8.217092497,15.95238095,12.56666667,30.57142857,6.004761905
505031303,0,37.64065401,9.199999809,0.449845954,180.1264499,17.75,12.55,30.9,6.1
505031305,0,0,0,0,0,17.4,11.6,30.7,6.2
505031306,0,0,0,0,0,17.9,12.6,30.3,6.4
506011110,0,0.350789449,9.300000191,2.479192629,143.7947967,17.13333333,10.36666667,30.6,5.733333333
506011114,0,0,0,0,0,0,0,0,0
506011115,0,0,8.5,0.439517735,85.52229032,18.96666667,12.53333333,29.8,5.666666667
506011116,0,0.620774581,8.199999809,4.260753882,12.64162003,19.3,13.22,29.96,5.44
506011307,0,0,0,0,0,0,0,0,0
506011308,0,111.0542169,0,0,0,16.8,9.866666667,30.5,6
506021309,0,14.35383585,0,0,0,0,0,0,0
506041132,0,50.42517498,0,0,0,0,0,0,0
506041136,0,0,8.600000381,34.50590564,54.18386299,20.06666667,12.83333333,30.2,5.6
506051138,0,0,0,0,0,19.6,11.95,30.95,5.6
506051139,0,0.288327083,0,0,0,18.8,12.1,31.5,5.6
506051141,0,2.681819592,0,0,0,20.78,14.49,30.02,5.34
506061143,0,474.2995012,8.399999619,0.412683616,10.03342179,17.06875,11.15625,30.375,5.5875
506061144,0,821.0830968,8.040000153,1.667785447,9.38460011,17.93333333,13.35,30.09666667,5.48
507011148,0,2.535767445,0,0,0,16.2,9.05,30,6.2
507011152,0,0,0,0,0,0,0,0,0
507011259,0,9.549870445,0,0,0,16.36666667,9.133333333,29.66666667,6.7
507031172,0,0,0,0,0,15.95,9,29.7,6.55
507031261,0.345699042,25.69499652,9.600000381,0.348855734,162.1067506,16.3,9.75,30.15,6.1
507041182,0,0,0,0,0,0,0,0,0
507051312,3.782647124,4.593162197,8.300000191,20.12304326,247.0821095,16.73333333,10.56666667,30.16666667,5.933333333
507051313,0,3.598098549,0,0,0,17.25,11,29.75,6.45
507051314,0,0,0,0,0,17.9,12.25,30,6.25
509011225,0,269.3850008,0,0,0,28.45,21.5,23.75,6.25
509011226,0,10238.22716,7.972500026,0.122052105,1.153808551,24.62782609,21.60478261,24.77869565,5.947826087
509011227,0,20.87549081,0,0,0,28.7,21.9,23.9,6.4
509011228,0,2255.964324,7.804999971,0.178698906,0.793261534,25.99196429,22.49285714,24.65535714,5.925
509011229,0,16910.92389,9.058108124,1.047984693,1.242132749,18.28244994,18.77243816,27.95795053,4.682332155
509011230,31174.1254,7799.939149,9.418181853,0.48205294,2.362863296,14.4527027,14.3472973,29.80540541,4.252702703
509011231,0,42274.58944,9.319767442,6.458472244,1.708745077,15.38607069,14.71392931,28.26361746,4.502910603
509011232,0,92.83182608,8.600000381,2.247188368,22.38561726,28.86666667,22.21111111,23.64444444,6.044444444
509011233,422.2518766,361.116142,7.5,0.457697714,11.1617667,28.18333333,21.73333333,23.86666667,6.45
509011234,0,13074.36321,8.146511599,1.142087992,1.385241533,19.70336134,17.9592437,25.5289916,4.987394958
509021236,10365.9758,1934.180279,7.461538498,10.70498023,3.5841018,14.37230769,12.43076923,32.29692308,5.093846154
509021237,93203.05933,7114.783747,9.807142844,3.591786192,2.431491528,14.12041885,14.63403141,33.32356021,4.512041885
509021238,0,7505.535796,9.449541271,14.01196931,2.20679414,16.54864865,17.26661367,34.20747218,4.806200318
509021239,0,12751.44934,7.569148967,250.4166214,2.016341221,11.98703704,10.465,32.05074074,5.625185185
509021240,113447.5093,9464.405954,8.840217414,0.614416541,2.087684538,17.5148423,18.38367347,32.8257885,4.632096475
509021241,0,10914.45102,8.337007887,1.123003961,1.791424312,14.52978142,14.93497268,34.89084699,4.971038251
509021242,0,8751.858473,6.655907166,8.407392094,0.719259962,26.1014652,27.4474359,33.90769231,4.792417582
509021243,19499.58386,3239.174346,7.892857109,0.705982982,3.649497624,13.95316456,13.30253165,33.40632911,4.632911392
509021244,0,1360.96309,7.341176426,21.6007418,3.116459931,11.91134021,10.6257732,32.61134021,4.834020619
509021245,0,7385.211986,8.384999967,0.463793171,2.294103283,14.09674797,13.29146341,32.80447154,4.612601626
509031246,0,17657.24928,9.059210583,721.4921376,2.206564602,14.63268293,14.29146341,31.87463415,4.54804878
509031247,0,27038.55289,8.810181829,9494.054146,1.753454891,18.19394704,19.02484237,30.63032787,4.406242119
509031248,0,1767.909724,8.191304248,2966.003107,1.895710172,18.77284768,13.81721854,30.30331126,5.078807947
509031249,6481.44841,2688.650673,8.966666857,139.8181992,5.535045144,15.93333333,15.22962963,30.67777778,4.337037037
509031250,0,36710.49512,8.992134844,540.3438978,2.04063215,15.51776938,14.6268431,30.64215501,4.430812854
510011262,0,0,0,0,0,169,981.5,32.6,4.35
510011263,0,17980.46594,4.746178014,2127.885081,0.15291218,182.0400258,488.869184,35.8925769,3.153877325
510011264,0,15077.24829,4.606443305,2332.600793,0.131926264,140.6932914,148.634127,37.94405511,3.881012279
510011265,0,8639.675247,5.084654473,7377.758953,0.209782269,161.2582011,297.8225573,33.9570194,2.914250441
510011266,0,3859.566477,5.140552013,81.94551032,0.129834428,197.7863953,745.8438577,35.1756509,3.435863586
510021267,0,9812.336583,4.62589207,23280.77406,0.239502623,108.0315455,118.8378098,39.68268282,3.884214544
510021268,0,1133.163208,0,0,0,0,0,0,0
510021269,0,661.0118713,0,0,0,133.1,140.0666667,35.85,4.6
510031271,0,6126.976952,5.252590088,11457.93803,0.58055717,124.4038907,130.8474946,39.6132639,3.704480252
510031273,0,6.086975032,5.96124031,11542.39167,6.700178768,119.6767927,125.9361147,38.31134289,3.81851369
511011274,0,2712.16825,7.259999943,26.66300108,1.49239038,28.47692308,28.71923077,25.65384615,6.342307692
511011275,0,16446.31995,7.008655626,2673.078585,0.267102092,29.85649755,31.26553191,27.68134206,4.911554828
511021276,0,424.7495299,8.699999809,111.0959338,12.54896355,8.1,8.46,33.06,6.58
511021277,0,7668.196544,6.395021096,1090.283473,0.161206755,27.74120017,29.171334,38.96242625,4.97660095
511031279,0,0,0,0,0,39.5,41.6,33.4,4.1
511031280,0,18.42082701,0,0,0,39.55,41.65,33.5,4.25
511031282,0,2628.98468,5.240407961,109706.8748,0.422199739,40.14221567,42.24812974,31.57764111,4.410572873
511031283,0,1038.073055,4.994124119,80078.85958,0.200576164,38.72751781,40.7466876,37.38251896,4.539990044
511041285,326.1718888,173.2415007,0,0,0,9.5,9.8,32.8,7
511041286,0,127.4263404,8.699999809,1044.564794,45.67020877,10.45,10.8,32.8,6.65
511041287,1863.605643,145.4119589,7.649999857,73.53635426,3.854378018,9.2,9.466666667,32.64444444,6.777777778
511041289,0,1078.834804,8.026315764,485.8392394,1.836078437,20.6,21.41300813,33.99756098,6.024390244
511041290,0,4637.64105,4.459107901,14393.74638,0.210336316,36.48378756,38.40150478,38.73510832,4.11613324
511041291,0,8296.508461,7.665296788,15710.64069,1.588817215,30.82071146,32.22671937,35.86031621,5.046086957
