country,sample_count,rmse,mae,r2
Australia,1124,2.391120134687343,1.5919671948801064,0.6931668703797261
Brazil,5303,1.9298462043503088,1.3443140698269422,0.8434133005992074
China,2676,12.248074933007079,9.458346979830164,0.18820513409108042
EU,276,2.485682063406428,1.7250627261837095,0.5071426171270825
USA,3066,1.6464638988338098,1.2863293795843656,-0.3838188733684942
