row_id,fold,y_true,y_pred,abs_error
0,4,7.689899,16.94321860196494,9.25331960196494
1,5,16.217949,10.076899819810006,6.141049180189995
2,3,11.115,2.4052321315906515,8.70976786840935
3,4,10.590196,20.346973926604583,9.756777926604583
4,5,18.673585,18.72762445296606,0.054039452966062385
5,4,22.778571,15.83902149783761,6.939549502162389
6,3,11.245455,8.222521587170489,3.022933412829511
7,4,23.283784,17.2707061657868,6.013077834213199
8,2,4.693548,13.523447862274708,8.829899862274708
9,4,12.308,19.79660729987734,7.488607299877341
10,4,17.67284,10.738884687182939,6.933955312817062
11,5,20.662745,10.733744604280199,9.929000395719802
12,4,26.862162,22.10784722349298,4.754314776507023
13,2,64.528289,35.29145746464562,29.236831535354384
14,4,69.340141,52.949469824415736,16.390671175584266
15,3,38.056897,39.27789454914563,1.220997549145629
16,5,52.251579,45.04452941995389,7.20704958004611
17,3,46.932051,35.19806178106513,11.733989218934873
18,2,66.758382,52.00259116888679,14.75579083111321
19,5,41.701299,37.03466403036727,4.666634969632732
20,2,34.709375,34.27156446042354,0.43781053957646066
21,5,52.242857,43.09366342254034,9.149193577459663
22,4,27.943857,17.575317911888295,10.368539088111707
23,2,26.762905,24.929285079051056,1.8336199209489443
24,4,32.295474,24.95781629005405,7.3376577099459475
25,2,11.831746,18.238428376249438,6.406682376249437
26,3,13.787131,32.363942883250886,18.576811883250883
27,4,11.902041,20.931468463205032,9.029427463205032
28,3,17.513793,25.202579450347876,7.688786450347877
29,1,14.685083,22.643821683321864,7.958738683321863
30,1,2.557407,3.863971727008007,1.306564727008007
31,3,6.196532,9.770652995908659,3.5741209959086584
32,1,3.697043,1.9108114717837588,1.786231528216241
33,4,3.869635,6.600131542393181,2.730496542393181
34,5,13.583871,15.608496471582448,2.024625471582448
35,5,3.59494,7.668935476585693,4.073995476585694
36,5,14.847845,24.360716752967633,9.512871752967634
37,3,38.934483,39.59725380921918,0.6627708092191824
38,5,39.48,42.639598968495235,3.1595989684952386
39,3,40.266667,37.10886064019833,3.1578063598016683
40,4,29.528,26.846936753589866,2.681063246410133
41,3,26.978571,28.29651780696256,1.31794680696256
42,4,28.124242,37.163917968140936,9.039675968140937
43,1,29.223077,25.590956820428552,3.632120179571448
44,1,25.725,19.455773350538582,6.2692266494614195
45,2,22.965218,26.53882078590492,3.573602785904921
46,5,29.353333,27.307515027394,2.045817972605999
47,4,27.508333,27.598825053924326,0.09049205392432569
48,2,20.121429,19.579875376042875,0.5415536239571246
49,2,24.3375,24.98727268949427,0.6497726894942701
50,5,21.317647,28.28466134235261,6.967014342352609
51,1,41.406667,34.92249426617495,6.484172733825048
52,4,35.40625,34.17343820684267,1.2328117931573317
53,3,38.727273,33.37514737172264,5.352125628277356
54,3,32.266667,24.46470397409507,7.801963025904929
55,4,40.428571,39.55632270077831,0.8722482992216882
56,1,40.646154,36.39857446206764,4.24757953793236
57,1,41.974999,39.56042577640631,2.4145732235936848
58,3,23.55,27.84279888865995,4.292798888659949
59,2,42.147058,36.339635920609524,5.807422079390477
60,4,24.435714,29.53650999884749,5.100795998847488
61,3,22.255555,29.552465786610078,7.296910786610077
62,4,21.166666,24.21772417465826,3.0510581746582623
63,2,20.646667,22.032407919936233,1.3857409199362323
64,5,22.7,26.536895694644457,3.8368956946444577
65,2,22.145454,28.283239257275092,6.137785257275091
66,4,61.783332,39.0563714794035,22.7269605205965
67,1,56.37647,41.368040034863974,15.008429965136024
68,4,45.142857,40.379056267784556,4.763800732215444
69,2,62.925,35.59320953216419,27.33179046783581
70,1,59.025,37.317794232018976,21.707205767981023
71,2,61.76,42.40406981531671,19.355930184683288
72,3,66.349998,50.057578505852085,16.292419494147914
73,1,31.842857,44.345403753404184,12.502546753404186
74,4,29.934615,44.55182666675506,14.617211666755061
75,5,26.623106,48.66346588415416,22.040359884154157
76,2,21.927309,42.821949593807744,20.894640593807743
77,4,28.792857,28.930679898790824,0.137822898790823
78,3,30.269231,44.31542296421129,14.046191964211285
79,4,43.920588,31.267452296391188,12.653135703608815
80,4,32.616927,26.50863082841816,6.108296171581838
81,3,39.568613,34.70680541049825,4.861807589501751
82,4,51.931646,23.502290920571085,28.429355079428916
83,2,44.310457,28.72068683159053,15.58977016840947
84,2,53.881219,26.269857295848674,27.611361704151328
85,4,42.166862,34.105490757095374,8.061371242904627
86,3,56.464806,47.19030856295597,9.274497437044033
87,2,42.811538,48.8909041118748,6.079366111874798
88,4,27.295652,28.86566343272374,1.5700114327237387
89,5,23.360606,32.18312104211828,8.82251504211828
