rmse,mae,r2,fold,holdout_country
9.491822186363317,8.914841405159262,-3.8350241145793857,1,Australia
5.368281770292914,4.139982240785216,-0.21165806068597126,2,Brazil
25.110138048354003,21.520833270060127,-2.4119985007975475,3,China
4.512401525788896,3.5548145462439416,-0.6242227319827696,4,EU
7.565912792621063,7.023227809453043,-28.221162311002693,5,USA
