model_name,rmse_with_country,rmse_without_country,rmse_delta_without_minus_with,mae_with_country,mae_without_country,mae_delta_without_minus_with,r2_with_country,r2_without_country,r2_delta_without_minus_with,wilcoxon_statistic,p_value,n
catboost,6.029609586633191,6.386283597982907,0.35667401134971666,3.217296332253518,3.8174073917565243,0.6001110595030061,0.7528026680926982,0.7234251243336154,-0.029377543759082858,24516348.0,3.4921534366767317e-275,12445
tabpfn,6.630992806155739,6.783725721948988,0.15273291579324955,4.047845925309114,3.9987873762768906,-0.04905854903222373,0.7030644904298147,0.6893621364598321,-0.01370235396998254,33173431.0,1.3586978685151656e-43,12445
geopfnmix_lite_catboost,5.959932761183442,6.138108510858897,0.17817574967545546,3.1206265211240423,3.4367716117495135,0.31614509062547125,0.7589691716377999,0.7446350703430105,-0.014334101294789403,28709661.0,9.49379507807933e-138,12445
geopfnmix_lite_catboost_tabpfn,5.926010476811695,6.144097518949107,0.21808704213741237,3.117570649023975,3.42723008648887,0.3096594374648949,0.7618806349658558,0.7446346754160371,-0.017245959549818668,31187455.0,7.509397953895746e-79,12445
geopfnmix_catboost,5.9609250507771545,6.135760385535937,0.17483533475878232,3.1168231289017254,3.4315768730795013,0.3147537441777759,0.758852481083748,0.7448190163992746,-0.014033464684473418,28840992.0,3.273344967347057e-134,12445
geopfnmix_catboost_tabpfn,5.919225431996008,6.149595826171884,0.23037039417587657,3.103958950880481,3.421411818096126,0.3174528672156449,0.7624616770051393,0.7441013356950582,-0.01836034131008113,30972819.0,2.6838707387487265e-83,12445
