rmse,mae,r2,fold
5.336597184736653,2.8318274264726657,0.7564945545539421,1
6.121818997739576,3.2654938218497405,0.769338791948208,2
6.502472888440905,3.2887322535279107,0.7530482350608112,3
5.897468410505241,3.0729663665481404,0.7859198804200953,4
5.737769678557665,3.060774886003948,0.7475069230426399,5
