feature,feature_clean,mean_abs_shap
num__emission_pressure_logsum,emission_pressure_logsum,1.594114187719632
num__NOX,NOX,1.4579684494372838
num__log1p_NOX,log1p_NOX,1.4190382051880317
num__SO2,SO2,1.25237557521913
num__log1p_SO2,log1p_SO2,1.0910227710607259
num__NOX_div_SO2,NOX_div_SO2,1.0371502166418811
cat__PROVINCE,PROVINCE,0.6887552006489522
num__wind,wind,0.6152751213604266
num__province_z_ppt,province_z_ppt,0.5470487701124115
num__NOX_plus_SO2,NOX_plus_SO2,0.4232208262734141
