pm25_bin,sample_count,mae,rmse
<20,9802,1.7272941674401543,3.468718611881168
20-35,1651,5.885834589888059,7.385719854826201
35-50,651,7.56345242832162,9.084252911207644
>=50,341,20.833716657897565,22.759501544580203
