model_name,RandomKFold,GroupKFold(CITY),GroupKFold(PROVINCE)
CatBoost,10.221894694720936,12.637554005942,12.890657340683909
HistGBDT,10.76084063808182,13.23168633690679,13.043932906861022
LightGBM,10.83969067044224,13.200492087031993,12.836847490791712
RandomForest,10.98739893630402,12.791060017429173,12.802390988648938
Ridge,12.083559131648922,13.267814135878243,14.45651497315126
TabPFN,9.325022049900696,12.500908353030416,12.2525522129102
XGBoost,10.640447671556846,13.316786184723266,13.31369572043945
