country,sample_count,rmse,mae,r2,model_name,model_label
Australia,1124,2.377706211653011,1.574863527836571,0.6965998148229546,geopfnmix_catboost_tabpfn,GeoPFNMix-CB-TabPFN
Brazil,5303,1.9197622423743679,1.3436450987835928,0.845045439920269,geopfnmix_catboost_tabpfn,GeoPFNMix-CB-TabPFN
China,2676,12.262459363208029,9.478279820377024,0.18629723205023052,geopfnmix_catboost_tabpfn,GeoPFNMix-CB-TabPFN
EU,276,2.493360913012393,1.741390506688325,0.5040928116059669,geopfnmix_catboost_tabpfn,GeoPFNMix-CB-TabPFN
USA,3066,1.651072737971604,1.2839393688915304,-0.39157698463443547,geopfnmix_catboost_tabpfn,GeoPFNMix-CB-TabPFN
Australia,1124,2.396032386342816,1.5812426243255855,0.6919048762666715,geopfnmix_lite_catboost_tabpfn,GeoPFNMix-Lite-CB-TabPFN
Brazil,5303,1.9422432052643088,1.3630461936375875,0.841395066776637,geopfnmix_lite_catboost_tabpfn,GeoPFNMix-Lite-CB-TabPFN
China,2676,12.264904115599334,9.490435408962906,0.18597274574104394,geopfnmix_lite_catboost_tabpfn,GeoPFNMix-Lite-CB-TabPFN
EU,276,2.5135896333425367,1.7614952660422152,0.4960135471934234,geopfnmix_lite_catboost_tabpfn,GeoPFNMix-Lite-CB-TabPFN
USA,3066,1.6640007410114532,1.293381225511106,-0.4134545721029117,geopfnmix_lite_catboost_tabpfn,GeoPFNMix-Lite-CB-TabPFN
Australia,1124,2.4187855917972625,1.6422241041504204,0.686025626390941,catboost,CatBoost
Brazil,5303,2.07168502899568,1.4438318524373543,0.8195499839142599,catboost,CatBoost
China,2676,12.445363691344632,9.812072434653473,0.16184215159652704,catboost,CatBoost
EU,276,2.409962373109955,1.673054449597081,0.5367124456947444,catboost,CatBoost
USA,3066,1.5399147560919173,1.2402413239883499,-0.21050945358826967,catboost,CatBoost
Australia,1124,2.386779339948369,1.6433114623205771,0.6942798974189454,tabpfn,TabPFN
Brazil,5303,2.235269950224448,1.8254928518450173,0.7899273909468738,tabpfn,TabPFN
China,2676,12.948902511815964,9.684327465383545,0.09264642769594689,tabpfn,TabPFN
EU,276,3.508848509128495,2.7669438821021215,0.01789177902138661,tabpfn,TabPFN
USA,3066,4.6414087850723105,3.9689612050433527,-9.997006054245409,tabpfn,TabPFN
