row_id,fold,y_true,y_pred,abs_error,holdout_country
0,1,16.06000004,12.764861917955532,3.2951381220444667,Australia
1,1,0.0,10.43359862301091,10.43359862301091,Australia
2,1,0.0,11.143722479807227,11.143722479807227,Australia
3,1,13.81935486,14.518217787697738,0.6988629276977374,Australia
4,1,9.530000019,13.766680764941022,4.2366807459410225,Australia
5,1,9.100000381,13.51804894651341,4.418048565513411,Australia
6,1,10.21034479,13.667671642750104,3.4573268527501035,Australia
7,1,9.778048841,12.87419282281192,3.0961439818119203,Australia
8,1,12.55000019,12.196021073538647,0.35397911646135327,Australia
9,1,10.66874997,12.941929475567724,2.2731795055677235,Australia
10,1,0.0,10.588358208261324,10.588358208261324,Australia
11,1,13.24444453,11.040343994268039,2.2041005357319623,Australia
12,1,10.19999981,11.178455852886568,0.9784560428865685,Australia
13,1,19.13571419,14.066722154354903,5.068992035645099,Australia
14,1,10.89999962,13.174982068380517,2.274982448380518,Australia
15,1,17.10000038,12.826453809753314,4.273546570246687,Australia
16,1,15.69999981,11.550465283569775,4.149534526430225,Australia
17,1,0.0,11.20615066765262,11.20615066765262,Australia
18,1,11.07444442,14.13377428038514,3.059329860385139,Australia
19,1,11.10000038,11.955805683604021,0.8558053036040203,Australia
20,1,10.93793103,13.68407276832237,2.74614173832237,Australia
21,1,8.900000095,13.468833063400167,4.568832968400168,Australia
22,1,9.240000014,13.71634785836653,4.476347844366531,Australia
23,1,0.0,10.090076624270587,10.090076624270587,Australia
24,1,13.51249981,14.70576070527903,1.19326089527903,Australia
25,1,0.0,10.096814743096667,10.096814743096667,Australia
26,1,0.0,9.93940276675714,9.93940276675714,Australia
27,1,13.60000038,16.20986732741572,2.6098669474157177,Australia
28,1,0.0,10.77021482803544,10.77021482803544,Australia
29,1,0.0,9.72877481371109,9.72877481371109,Australia
30,1,13.10000038,10.041043134478198,3.0589572455218033,Australia
31,1,13.70000013,13.869511420706196,0.16951129070619686,Australia
32,1,13.10000038,17.805299150985128,4.705298770985127,Australia
33,1,13.19999981,11.30694101643906,1.8930587935609395,Australia
34,1,0.0,10.297573341155733,10.297573341155733,Australia
35,1,0.0,9.937760833542189,9.937760833542189,Australia
36,1,10.5,13.519375411656291,3.0193754116562914,Australia
37,1,10.12631579,13.838303725529205,3.711987935529205,Australia
38,1,10.2,14.028481318680996,3.8284813186809963,Australia
39,1,0.0,11.016094069068918,11.016094069068918,Australia
40,1,10.30000019,14.334342290893856,4.034342100893856,Australia
41,1,5.994771244,13.597492646833208,7.602721402833208,Australia
42,1,9.23333327,15.710606890095166,6.477273620095167,Australia
43,1,9.044827659,13.97351950939332,4.928691850393321,Australia
44,1,7.922222222,13.34249895344453,5.420276731444529,Australia
45,1,8.035483853,13.094575145475936,5.0590912924759355,Australia
46,1,8.050000191,13.446852321541801,5.3968521305418005,Australia
47,1,7.398113206,13.414540107692792,6.0164269016927925,Australia
48,1,6.066265043,13.098535586418281,7.0322705434182815,Australia
49,1,10.25,19.327878340396754,9.077878340396754,Australia
50,1,10.7826087,18.90825454959441,8.12564584959441,Australia
51,1,10.60000038,14.417954712232213,3.817954332232212,Australia
52,1,11.1642858,14.682675772088327,3.518389972088327,Australia
53,1,9.694805213,14.616269527259703,4.921464314259703,Australia
54,1,10.06249994,14.067508063324642,4.005008123324641,Australia
55,1,10.10000038,11.271042823166951,1.1710424431669502,Australia
56,1,0.0,14.784641072860412,14.784641072860412,Australia
57,1,9.153488414,14.477477671165726,5.323989257165726,Australia
58,1,0.0,12.308569605162337,12.308569605162337,Australia
59,1,13.45064942,14.029044429998454,0.5783950099984541,Australia
60,1,11.73999996,13.070149969350808,1.3301500093508078,Australia
61,1,13.16250002,14.527012485743342,1.364512465743342,Australia
62,1,15.0,14.72783982320578,0.27216017679421967,Australia
63,1,0.0,10.707228636188155,10.707228636188155,Australia
64,1,17.46666654,14.69150023420185,2.775166305798148,Australia
65,1,13.27894743,13.08915945544042,0.18978797455958052,Australia
66,1,16.39999962,13.371559226635096,3.028440393364903,Australia
67,1,16.25,14.871536784128947,1.3784632158710526,Australia
68,1,16.20000076,12.51524118470428,3.684759575295722,Australia
69,1,18.5,11.999936820258037,6.500063179741963,Australia
70,1,7.271319305,12.8308573926135,5.559538087613501,Australia
71,1,5.138248866,14.008164067466812,8.869915201466812,Australia
72,1,9.481739098,13.592973240858289,4.111234142858288,Australia
73,1,6.661928949,13.591937288157188,6.9300083391571885,Australia
74,1,9.897942408,13.033355229263863,3.135412821263863,Australia
75,1,4.900000095,16.498641641667163,11.598641546667164,Australia
76,1,5.775550665,13.083973272996413,7.308422607996413,Australia
77,1,8.222000046,13.545088577681472,5.3230885316814724,Australia
78,1,8.699999809,15.884391957220691,7.184392148220692,Australia
79,1,0.0,11.33664092499119,11.33664092499119,Australia
80,1,8.349999905,13.015967334616475,4.665967429616474,Australia
81,1,8.154054075,14.096882879450991,5.942828804450992,Australia
82,1,8.533962304,13.201432484496515,4.667470180496515,Australia
83,1,8.543333364,13.28447256024177,4.74113919624177,Australia
84,1,9.141176476,14.217708852313399,5.0765323763133985,Australia
85,1,12.32500005,14.654631548017216,2.329631498017216,Australia
86,1,12.30000019,13.092441275919978,0.7924410859199771,Australia
87,1,13.98666662,13.272785032138316,0.7138815878616835,Australia
88,1,12.19523816,13.232404500259657,1.037166340259656,Australia
89,1,12.69999981,11.67083802382634,1.0291617861736597,Australia
90,1,12.69999981,14.998804982603927,2.2988051726039274,Australia
91,1,13.59000001,14.763577152924192,1.1735771429241915,Australia
92,1,0.0,10.35335920167347,10.35335920167347,Australia
93,1,12.30000019,10.934020759873512,1.3659794301264885,Australia
94,1,12.5,11.92963235295473,0.5703676470452699,Australia
95,1,0.0,10.576832177760194,10.576832177760194,Australia
96,1,0.0,11.047944978610275,11.047944978610275,Australia
97,1,0.0,10.887792575925767,10.887792575925767,Australia
98,1,13.0,11.392564453065575,1.6074355469344255,Australia
99,1,12.8499999,13.66599512394375,0.8159952239437498,Australia
100,1,12.0999999,13.216431172462897,1.116431272462897,Australia
101,1,12.30000019,11.96498580675826,0.3350143832417398,Australia
102,1,12.26666673,13.191420173218166,0.9247534432181652,Australia
103,1,13.0,19.159458329574527,6.159458329574527,Australia
104,1,12.13333332,18.422612168295807,6.289278848295806,Australia
105,1,11.60000038,12.028343208891878,0.4283428288918767,Australia
106,1,10.84459461,14.58985883763275,3.7452642276327506,Australia
107,1,0.0,11.08580056715821,11.08580056715821,Australia
108,1,10.0,15.875656865411862,5.875656865411862,Australia
109,1,0.0,11.0617667760208,11.0617667760208,Australia
110,1,10.69999981,10.427772338190424,0.2722274718095754,Australia
111,1,9.849999905,15.004209796760923,5.154209891760923,Australia
112,1,0.0,10.791583926739087,10.791583926739087,Australia
113,1,0.0,10.69461115570115,10.69461115570115,Australia
114,1,9.75,12.267768372837104,2.5177683728371036,Australia
