row_id,fold,y_true,y_pred,abs_error
0,1,16.06000004,10.2575507998594,5.802449240140598
1,5,0.0,1.0904845501440865,1.0904845501440865
2,4,0.0,0.46121667902111096,0.46121667902111096
3,1,13.81935486,10.279790145741629,3.539564714258372
4,5,9.530000019,10.04502714960301,0.515027130603011
5,5,9.100000381,11.447965380530535,2.347964999530536
6,4,10.21034479,10.440022569139089,0.22967777913908805
7,4,9.778048841,10.798204534782455,1.0201556937824545
8,1,12.55000019,11.628256974207183,0.9217432157928176
9,5,10.66874997,11.651680750996709,0.9829307809967087
10,2,0.0,1.412615305902844,1.412615305902844
11,5,13.24444453,13.736456566147584,0.4920120361475835
12,2,10.19999981,13.316035239819545,3.1160354298195454
13,5,19.13571419,11.969869955172422,7.1658442348275795
14,1,10.89999962,12.983269933209463,2.0832703132094643
15,3,17.10000038,12.724226825249728,4.375773554750273
16,5,15.69999981,11.308648434428665,4.391351375571334
17,1,0.0,4.7728198201761405,4.7728198201761405
18,4,11.07444442,10.118583819572487,0.9558606004275134
19,1,11.10000038,9.901518661824639,1.198481718175362
20,2,10.93793103,10.001957471011295,0.9359735589887048
21,5,8.900000095,8.530718832847217,0.3692812621527821
22,4,9.240000014,9.46263855644933,0.2226385424493298
23,2,0.0,1.1801073028045943,1.1801073028045943
24,4,13.51249981,11.22190590202443,2.2905939079755697
25,4,0.0,1.8096460684822178,1.8096460684822178
26,3,0.0,2.591191743711663,2.591191743711663
27,3,13.60000038,12.184681773033553,1.4153186069664478
28,3,0.0,1.3873625400146021,1.3873625400146021
29,2,0.0,1.039485083583483,1.039485083583483
30,2,13.10000038,0.5710434331490242,12.528956946850977
31,1,13.70000013,11.663595523838461,2.036404606161538
32,2,13.10000038,7.312937370996075,5.7870630090039255
33,1,13.19999981,13.009997415938162,0.19000239406183717
34,3,0.0,1.330313929536824,1.330313929536824
35,1,0.0,4.5398060268578675,4.5398060268578675
36,2,10.5,10.464653066520214,0.03534693347978646
37,2,10.12631579,10.195004458362117,0.06868866836211751
