row_id,fold,y_true,y_pred,abs_error
0,4,16.06000004,10.906047853985076,5.153952186014923
1,4,0.0,-1.4855723987179434,1.4855723987179434
2,4,0.0,-2.6222921459474247,2.6222921459474247
3,4,13.81935486,10.09029676997459,3.7290580900254113
4,4,9.530000019,9.559915190681156,0.029915171681157204
5,4,9.100000381,11.32128605843107,2.221285677431071
6,4,10.21034479,9.180559998671246,1.0297847913287548
7,4,9.778048841,9.407027553946051,0.3710212870539493
8,4,12.55000019,10.467399805707226,2.0826003842927747
9,4,10.66874997,10.723361373538209,0.05461140353820859
10,4,0.0,-0.5629343342189461,0.5629343342189461
11,4,13.24444453,8.562276716291175,4.682167813708826
12,4,10.19999981,9.701241202396366,0.49875860760363366
13,4,19.13571419,11.14863615430826,7.9870780356917415
14,4,10.89999962,11.842022099612436,0.9420224796124366
15,4,17.10000038,11.247897850395272,5.852102529604728
16,4,15.69999981,10.1835836878376,5.516416122162399
17,4,0.0,1.615307783563777,1.615307783563777
18,4,11.07444442,9.578031474207997,1.4964129457920041
19,4,11.10000038,9.2782007167844,1.8217996632156002
20,4,10.93793103,8.97394273657579,1.9639882934242099
21,4,8.900000095,7.030394192148515,1.8696059028514842
22,4,9.240000014,7.156278765341272,2.083721248658728
23,3,0.0,-0.8976920592684614,0.8976920592684614
24,3,13.51249981,14.47989912572367,0.9673993157236698
25,3,0.0,-0.6669845259979876,0.6669845259979876
26,3,0.0,0.22116502434207597,0.22116502434207597
27,3,13.60000038,9.757644309038632,3.842356070961369
28,3,0.0,-0.7743803125979127,0.7743803125979127
29,3,0.0,-1.454234379707664,1.454234379707664
30,3,13.10000038,0.028919393932287818,13.071080986067713
31,3,13.70000013,12.903774719173972,0.7962254108260272
32,3,13.10000038,9.632249741316336,3.4677506386836647
33,3,13.19999981,14.085708581834835,0.8857087718348353
34,3,0.0,-0.6406435932487895,0.6406435932487895
35,3,0.0,0.7312188452237631,0.7312188452237631
36,5,10.5,10.730245840428879,0.23024584042887852
37,5,10.12631579,9.412947847711413,0.7133679422885866
38,5,10.2,10.731902264527175,0.5319022645271758
39,5,0.0,-1.2997347954488188,1.2997347954488188
40,5,10.30000019,10.40972605965883,0.10972586965882947
41,5,5.994771244,4.882377079639937,1.1123941643600626
42,5,9.23333327,6.3335963993781,2.899736870621899
43,5,9.044827659,7.381093742535247,1.6637339164647518
44,5,7.922222222,5.72864636574111,2.1935758562588905
45,5,8.035483853,5.919147988451341,2.1163358645486596
46,5,8.050000191,6.458721079108837,1.5912791118911631
47,5,7.398113206,6.421498712419083,0.9766144935809162
48,5,6.066265043,5.066619532718754,0.9996455102812458
49,5,10.25,8.745502224010124,1.5044977759898757
50,5,10.7826087,11.237613755459195,0.45500505545919445
51,5,10.60000038,9.378442412652987,1.2215579673470138
52,5,11.1642858,11.145152046672939,0.019133753327061243
53,5,9.694805213,8.766054418949384,0.9287507940506163
54,5,10.06249994,9.35530617203566,0.7071937679643412
55,5,10.10000038,-2.655639700761215,12.755640080761216
56,5,0.0,11.89446913991074,11.89446913991074
57,5,9.153488414,8.39463019191317,0.7588582220868307
58,1,0.0,1.2865424516982973,1.2865424516982973
59,1,13.45064942,10.640777395390154,2.809872024609845
60,1,11.73999996,11.425094525880795,0.3149054341192059
61,1,13.16250002,11.93451157388399,1.2279884461160098
62,1,15.0,10.757551187535832,4.242448812464168
63,1,0.0,1.8344748825325858,1.8344748825325858
64,1,17.46666654,12.148987378643861,5.317679161356137
65,1,13.27894743,11.301740362159855,1.9772070678401459
66,1,16.39999962,10.425076928032333,5.974922691967667
67,1,16.25,10.271063501105221,5.978936498894779
68,1,16.20000076,10.281941560502048,5.918059199497954
69,1,18.5,12.503829983936102,5.996170016063898
70,2,7.271319305,8.486219840573526,1.214900535573526
71,2,5.138248866,6.332226493554332,1.1939776275543323
72,2,9.481739098,7.372318585171629,2.109420512828371
73,2,6.661928949,7.868126916778063,1.2061979677780634
74,2,9.897942408,9.295462562245774,0.6024798457542264
75,2,4.900000095,9.074445408573226,4.174445313573226
76,2,5.775550665,7.161328686957987,1.3857780219579867
77,2,8.222000046,8.13655725821213,0.08544278778786918
78,2,8.699999809,8.392898651471254,0.307101157528745
79,2,0.0,-2.0339371095883934,2.0339371095883934
80,2,8.349999905,8.662514285137387,0.31251438013738664
81,2,8.154054075,7.585450669751884,0.5686034052481155
82,2,8.533962304,8.753095225327439,0.21913292132743933
83,2,8.543333364,7.167297797008471,1.3760355669915292
84,2,9.141176476,8.430585158053248,0.7105913179467525
85,1,12.32500005,10.581426262896553,1.743573787103447
86,1,12.30000019,10.146597135743033,2.1534030542569678
87,1,13.98666662,10.947453804344143,3.0392128156558567
88,1,12.19523816,13.010507440851594,0.8152692808515933
89,1,12.69999981,9.551470397532302,3.1485294124676972
90,1,12.69999981,9.467011682289243,3.2329881277107564
91,1,13.59000001,11.578663007840298,2.011337002159703
92,1,0.0,-0.3955063625908277,0.3955063625908277
93,1,12.30000019,0.023608261619351367,12.276391928380649
94,1,12.5,9.591611549750692,2.9083884502493085
95,1,0.0,-0.16505746851401426,0.16505746851401426
96,1,0.0,-1.0256002049112816,1.0256002049112816
97,1,0.0,0.13028272332680046,0.13028272332680046
98,1,13.0,9.872923613224454,3.1270763867755456
99,1,12.8499999,10.822621927569621,2.0273779724303793
100,1,12.0999999,9.907760459671746,2.1922394403282546
101,1,12.30000019,9.430962091596959,2.869038098403042
102,1,12.26666673,10.9042116314589,1.3624550985411013
103,1,13.0,9.190729048325093,3.8092709516749075
104,1,12.13333332,11.06138217886097,1.0719511411390297
105,1,11.60000038,8.549807564070687,3.0501928159293143
106,1,10.84459461,10.141938133935387,0.7026564760646128
107,2,0.0,-1.4225526279207052,1.4225526279207052
108,2,10.0,12.81167557049761,2.8116755704976093
109,2,0.0,-4.447393662486412,4.447393662486412
110,2,10.69999981,-1.2317826049354892,11.931782414935489
111,2,9.849999905,13.347241923382198,3.497242018382197
112,2,0.0,-1.5057108349637076,1.5057108349637076
113,2,0.0,-1.5118180840050073,1.5118180840050073
