feature,feature_clean,mean_abs_shap
COUNTRY,COUNTRY,3.8936405497971154
PROVINCE,PROVINCE,0.8406416303667654
log1p_NOX,log1p_NOX,0.6161654648717046
NOX_div_SO2,NOX_div_SO2,0.46839385710519726
SO2,SO2,0.42723778206207014
emission_pressure_logsum,emission_pressure_logsum,0.36978506364134406
AET,AET,0.3689423836607359
CITY,CITY,0.3641146197726995
NOX_plus_SO2,NOX_plus_SO2,0.31674164387308
NOX,NOX,0.28515591021123593
