row_id,fold,y_true,y_pred,abs_error
0,4,7.689899,13.896039962768555,6.206140962768555
1,5,16.217949,12.284815788269043,3.933133211730958
2,3,11.115,11.95669937133789,0.8416993713378904
3,4,10.590196,15.201384544372559,4.611188544372558
4,5,18.673585,18.133594512939453,0.5399904870605461
5,4,22.778571,15.822748184204102,6.955822815795898
6,3,11.245455,15.484027862548828,4.238572862548828
7,4,23.283784,16.518136978149414,6.765647021850587
8,2,4.693548,12.153822898864746,7.460274898864746
9,4,12.308,17.626205444335938,5.318205444335938
10,4,17.67284,15.13157844543457,2.5412615545654305
11,5,20.662745,10.97909927368164,9.68364572631836
12,4,26.862162,18.55426597595215,8.307896024047853
13,2,64.528289,50.259559631347656,14.268729368652345
14,4,69.340141,53.93939208984375,15.400748910156253
15,3,38.056897,44.124881744384766,6.067984744384766
16,5,52.251579,48.72581100463867,3.5257679953613277
17,3,46.932051,49.261146545410156,2.329095545410155
18,2,66.758382,57.05940246582031,9.698979534179685
19,5,41.701299,40.8890380859375,0.8122609140624988
20,2,34.709375,44.2633171081543,9.553942108154295
21,5,52.242857,48.335716247558594,3.907140752441407
22,4,27.943857,22.15401840209961,5.789838597900392
23,2,26.762905,28.82038688659668,2.0574818865966797
24,4,32.295474,21.43228530883789,10.863188691162108
25,2,11.831746,15.33010196685791,3.4983559668579094
26,3,13.787131,13.120792388916016,0.6663386110839848
27,4,11.902041,15.224510192871094,3.322469192871093
28,3,17.513793,13.377972602844238,4.135820397155761
29,1,14.685083,14.627257347106934,0.05782565289306696
30,1,2.557407,8.502694129943848,5.945287129943848
31,3,6.196532,6.743903160095215,0.5473711600952145
32,1,3.697043,5.721737861633301,2.024694861633301
33,4,3.869635,6.901979446411133,3.0323444464111327
34,5,13.583871,6.25454044342041,7.32933055657959
35,5,3.59494,5.181191444396973,1.5862514443969729
36,5,14.847845,6.131867408752441,8.715977591247558
37,3,38.934483,39.705116271972656,0.7706332719726561
38,5,39.48,40.990150451660156,1.5101504516601594
39,3,40.266667,35.53105926513672,4.7356077348632795
40,4,29.528,34.388710021972656,4.860710021972658
41,3,26.978571,25.306175231933594,1.672395768066405
